168.234.75.2, 2017-03-11 19:43:08, GET, /, HTTP/1.1, 200, 0.635783
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/intro_js/introjs.css, HTTP/1.1, 200, 0.000899
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/js/jquery-ui.js, HTTP/1.1, 200, 0.000724
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/intro_js/intro.js, HTTP/1.1, 200, 0.000754
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/scripts/general.js, HTTP/1.1, 200, 0.000750
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/js/calendar.js, HTTP/1.1, 200, 0.000615
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/js/jquery.js, HTTP/1.1, 200, 0.000549
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/js/web2py.js, HTTP/1.1, 200, 0.000693
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000730
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/web2py.css, HTTP/1.1, 200, 0.000694
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/calendar.css, HTTP/1.1, 200, 0.000687
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000697
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000530
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000664
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/ja-sosdmenu.css, HTTP/1.1, 200, 0.000637
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/template.css, HTTP/1.1, 200, 0.000704
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/home-style.css, HTTP/1.1, 200, 0.001003
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/css/bootstrap-toggle.css, HTTP/1.1, 200, 0.000640
168.234.75.2, 2017-03-11 19:43:09, GET, /cpfecys/static/js/d3/d3.min.js, HTTP/1.1, 200, 0.000505
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/d3/d3.js, HTTP/1.1, 200, 0.000634
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/RadarChart.js, HTTP/1.1, 200, 0.000699
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/Pruebas360.js, HTTP/1.1, 200, 0.001077
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/markitup/sets/markmin/set.js, HTTP/1.1, 200, 0.000618
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/markitup/sets/markmin/style.css, HTTP/1.1, 200, 0.000876
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000729
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000444
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/analytics.min.js, HTTP/1.1, 200, 0.000866
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/bootstrap-toggle.min.js, HTTP/1.1, 200, 0.000509
168.234.75.2, 2017-03-11 19:43:10, GET, /cpfecys/static/js/excelise.js, HTTP/1.1, 200, 0.000883
